adr_id,adr_term,adr_slug,label_column,model,prevalence_overall,prevalence_test,roc_auc,pr_auc,f1,precision,recall,n_train,n_test,positives_train,positives_test,split_seed,status
C0004093,Asthenia,c0004093_asthenia,c0004093__asthenia,LinearSVC,0.7150837988826816,0.770949720670391,0.6394485683987274,0.8501477194465903,0.749003984063745,0.831858407079646,0.6811594202898551,716,179,502,138,1337,ok
C0004093,Asthenia,c0004093_asthenia,c0004093__asthenia,LogisticRegression,0.7150837988826816,0.770949720670391,0.6624248851184164,0.8633921715097094,0.75,0.8454545454545455,0.6739130434782609,716,179,502,138,1337,ok
C0011603,Dermatitis,c0011603_dermatitis,c0011603__dermatitis,LinearSVC,0.8078212290502793,0.8379888268156425,0.6072413793103448,0.885261666355954,0.8413793103448276,0.8714285714285714,0.8133333333333334,716,179,573,150,1337,ok
C0011603,Dermatitis,c0011603_dermatitis,c0011603__dermatitis,LogisticRegression,0.8078212290502793,0.8379888268156425,0.6214942528735632,0.8978002761193793,0.8210526315789474,0.8666666666666667,0.78,716,179,573,150,1337,ok
C0011991,Diarrhoea,c0011991_diarrhoea,c0011991__diarrhoea,LinearSVC,0.7318435754189944,0.7821229050279329,0.6628205128205128,0.8576141422015179,0.803030303030303,0.8548387096774194,0.7571428571428571,716,179,515,140,1337,ok
C0011991,Diarrhoea,c0011991_diarrhoea,c0011991__diarrhoea,LogisticRegression,0.7318435754189944,0.7821229050279329,0.6791208791208792,0.8748571472553778,0.765625,0.8448275862068966,0.7,716,179,515,140,1337,ok
C0012833,Dizziness,c0012833_dizziness,c0012833__dizziness,LinearSVC,0.7932960893854749,0.8268156424581006,0.5996076721883175,0.8591552017664746,0.7956204379562044,0.8650793650793651,0.7364864864864865,716,179,562,148,1337,ok
C0012833,Dizziness,c0012833_dizziness,c0012833__dizziness,LogisticRegression,0.7932960893854749,0.8268156424581006,0.5901264167393201,0.8564366816827179,0.7781818181818182,0.84251968503937,0.722972972972973,716,179,562,148,1337,ok
C0015230,Rash,c0015230_rash,c0015230__rash,LinearSVC,0.8011173184357542,0.8435754189944135,0.5763954588457899,0.8834776939205189,0.8344827586206897,0.8705035971223022,0.8013245033112583,716,179,566,151,1337,ok
C0015230,Rash,c0015230_rash,c0015230__rash,LogisticRegression,0.8011173184357542,0.8435754189944135,0.5973273415326394,0.8958724127208393,0.7885304659498208,0.859375,0.7284768211920529,716,179,566,151,1337,ok
C0018681,Headache,c0018681_headache,c0018681__headache,LinearSVC,0.8402234636871508,0.8435754189944135,0.5689451277199622,0.8572651314999158,0.8600682593856656,0.8873239436619719,0.8344370860927153,716,179,601,151,1337,ok
C0018681,Headache,c0018681_headache,c0018681__headache,LogisticRegression,0.8402234636871508,0.8435754189944135,0.5860927152317881,0.8632759923711251,0.8292682926829268,0.875,0.7880794701986755,716,179,601,151,1337,ok
C0020517,Hypersensitivity,c0020517_hypersensitivity,c0020517__hypersensitivity,LinearSVC,0.6603351955307263,0.6536312849162011,0.5951888613178936,0.7082768239221592,0.7094017094017094,0.7094017094017094,0.7094017094017094,716,179,474,117,1337,ok
C0020517,Hypersensitivity,c0020517_hypersensitivity,c0020517__hypersensitivity,LogisticRegression,0.6603351955307263,0.6536312849162011,0.5895368072787428,0.7091819214733204,0.6896551724137931,0.6956521739130435,0.6837606837606838,716,179,474,117,1337,ok
C0027497,Nausea,c0027497_nausea,c0027497__nausea,LinearSVC,0.88268156424581,0.8994413407821229,0.654071773636991,0.9312523379719186,0.869281045751634,0.9172413793103448,0.8260869565217391,716,179,629,161,1337,ok
C0027497,Nausea,c0027497_nausea,c0027497__nausea,LogisticRegression,0.88268156424581,0.8994413407821229,0.660455486542443,0.9325044044321372,0.8786885245901639,0.9305555555555556,0.8322981366459627,716,179,629,161,1337,ok
C0033774,Pruritus,c0033774_pruritus,c0033774__pruritus,LinearSVC,0.7184357541899441,0.7374301675977654,0.6640876853642811,0.810748922697438,0.7808764940239044,0.8235294117647058,0.7424242424242424,716,179,511,132,1337,ok
C0033774,Pruritus,c0033774_pruritus,c0033774__pruritus,LogisticRegression,0.7184357541899441,0.7374301675977654,0.6675531914893617,0.8277084221761414,0.7603305785123967,0.8363636363636363,0.696969696969697,716,179,511,132,1337,ok
C0042963,Vomiting,c0042963_vomiting,c0042963__vomiting,LinearSVC,0.8,0.8435754189944135,0.663197729422895,0.9156257892399609,0.7941176470588235,0.8925619834710744,0.7152317880794702,716,179,565,151,1337,ok
C0042963,Vomiting,c0042963_vomiting,c0042963__vomiting,LogisticRegression,0.8,0.8435754189944135,0.6618968779564806,0.9167263132121611,0.8251748251748252,0.8740740740740741,0.7814569536423841,716,179,565,151,1337,ok
